Version,Mean_Density,Median_Density,SD_Density,Min_Density,Max_Density,Communities_Zero_Density,Communities_High_Density,Mean_Edges,Total_Edges_In_Communities
FIXED,0.891055001820066,1,0.177101773981998,0.0740740740740741,1,0,1049,1.3906567366283,2054
ORIGINAL,0,0,0,0,0,1476,0,0,0
