community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,max_edges_fixed,density_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,max_edges_orig,density_orig,density_diff,n_nodes_match
689,2,2,1,1,1,2,2,0,1,0,1,TRUE
690,2,2,1,1,1,2,2,0,1,0,1,TRUE
691,2,2,1,1,1,2,2,0,1,0,1,TRUE
692,2,2,1,1,1,2,2,0,1,0,1,TRUE
693,2,2,1,1,1,2,2,0,1,0,1,TRUE
694,2,2,1,1,1,2,2,0,1,0,1,TRUE
695,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
696,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
697,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
698,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
699,2,2,1,1,1,2,2,0,1,0,1,TRUE
700,2,2,1,1,1,2,2,0,1,0,1,TRUE
701,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
702,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
703,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
704,2,2,1,1,1,2,2,0,1,0,1,TRUE
705,2,2,1,1,1,2,2,0,1,0,1,TRUE
706,2,2,1,1,1,2,2,0,1,0,1,TRUE
707,2,2,1,1,1,2,2,0,1,0,1,TRUE
708,2,2,1,1,1,2,2,0,1,0,1,TRUE
709,2,2,1,1,1,2,2,0,1,0,1,TRUE
710,2,2,1,1,1,2,2,0,1,0,1,TRUE
711,2,2,1,1,1,2,2,0,1,0,1,TRUE
712,2,2,1,1,1,2,2,0,1,0,1,TRUE
713,2,2,1,1,1,2,2,0,1,0,1,TRUE
714,2,2,1,1,1,2,2,0,1,0,1,TRUE
715,2,2,1,1,1,2,2,0,1,0,1,TRUE
716,2,2,1,1,1,2,2,0,1,0,1,TRUE
717,2,2,1,1,1,2,2,0,1,0,1,TRUE
718,2,2,1,1,1,2,2,0,1,0,1,TRUE
719,2,2,1,1,1,2,2,0,1,0,1,TRUE
720,2,2,1,1,1,2,2,0,1,0,1,TRUE
721,2,2,1,1,1,2,2,0,1,0,1,TRUE
722,2,2,1,1,1,2,2,0,1,0,1,TRUE
723,2,2,1,1,1,2,2,0,1,0,1,TRUE
724,2,2,1,1,1,2,2,0,1,0,1,TRUE
725,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
726,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
727,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
728,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
729,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
730,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
731,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
732,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
733,5,5,4,10,0.4,5,5,0,10,0,0.4,TRUE
734,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
735,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
736,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
737,2,2,1,1,1,2,2,0,1,0,1,TRUE
738,2,2,1,1,1,2,2,0,1,0,1,TRUE
739,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
740,2,2,1,1,1,2,2,0,1,0,1,TRUE
741,2,2,1,1,1,2,2,0,1,0,1,TRUE
742,2,2,1,1,1,2,2,0,1,0,1,TRUE
743,2,2,1,1,1,2,2,0,1,0,1,TRUE
744,2,2,1,1,1,2,2,0,1,0,1,TRUE
745,2,2,1,1,1,2,2,0,1,0,1,TRUE
746,2,2,1,1,1,2,2,0,1,0,1,TRUE
747,2,2,1,1,1,2,2,0,1,0,1,TRUE
748,2,2,1,1,1,2,2,0,1,0,1,TRUE
749,3,3,2,3,0.666666666666667,2,2,0,1,0,0.666666666666667,FALSE
750,2,2,1,1,1,3,3,0,3,0,1,FALSE
751,2,2,1,1,1,2,2,0,1,0,1,TRUE
752,2,2,1,1,1,2,2,0,1,0,1,TRUE
753,2,2,1,1,1,2,2,0,1,0,1,TRUE
754,2,2,1,1,1,2,2,0,1,0,1,TRUE
755,2,2,1,1,1,2,2,0,1,0,1,TRUE
756,2,2,1,1,1,2,2,0,1,0,1,TRUE
757,2,2,1,1,1,2,2,0,1,0,1,TRUE
758,2,2,1,1,1,2,2,0,1,0,1,TRUE
759,2,2,1,1,1,2,2,0,1,0,1,TRUE
760,2,2,1,1,1,2,2,0,1,0,1,TRUE
761,2,2,1,1,1,2,2,0,1,0,1,TRUE
762,2,2,1,1,1,2,2,0,1,0,1,TRUE
763,2,2,1,1,1,2,2,0,1,0,1,TRUE
764,2,2,1,1,1,2,2,0,1,0,1,TRUE
765,2,2,1,1,1,2,2,0,1,0,1,TRUE
766,2,2,1,1,1,2,2,0,1,0,1,TRUE
767,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
768,2,2,1,1,1,2,2,0,1,0,1,TRUE
769,2,2,1,1,1,2,2,0,1,0,1,TRUE
770,2,2,1,1,1,2,2,0,1,0,1,TRUE
771,2,2,1,1,1,2,2,0,1,0,1,TRUE
772,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
773,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
774,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
775,2,2,1,1,1,2,2,0,1,0,1,TRUE
776,2,2,1,1,1,2,2,0,1,0,1,TRUE
777,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
778,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
779,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
780,2,2,1,1,1,2,2,0,1,0,1,TRUE
781,2,2,1,1,1,2,2,0,1,0,1,TRUE
782,2,2,1,1,1,2,2,0,1,0,1,TRUE
783,2,2,1,1,1,2,2,0,1,0,1,TRUE
784,2,2,1,1,1,2,2,0,1,0,1,TRUE
785,2,2,1,1,1,2,2,0,1,0,1,TRUE
786,2,2,1,1,1,2,2,0,1,0,1,TRUE
787,2,2,1,1,1,2,2,0,1,0,1,TRUE
788,2,2,1,1,1,2,2,0,1,0,1,TRUE
789,2,2,1,1,1,2,2,0,1,0,1,TRUE
790,2,2,1,1,1,2,2,0,1,0,1,TRUE
791,2,2,1,1,1,2,2,0,1,0,1,TRUE
792,2,2,1,1,1,2,2,0,1,0,1,TRUE
793,2,2,1,1,1,2,2,0,1,0,1,TRUE
794,2,2,1,1,1,2,2,0,1,0,1,TRUE
795,2,2,1,1,1,2,2,0,1,0,1,TRUE
796,2,2,1,1,1,2,2,0,1,0,1,TRUE
797,2,2,1,1,1,2,2,0,1,0,1,TRUE
798,2,2,1,1,1,2,2,0,1,0,1,TRUE
799,2,2,1,1,1,2,2,0,1,0,1,TRUE
800,2,2,1,1,1,2,2,0,1,0,1,TRUE
801,2,2,1,1,1,2,2,0,1,0,1,TRUE
802,2,2,1,1,1,2,2,0,1,0,1,TRUE
803,2,2,1,1,1,2,2,0,1,0,1,TRUE
804,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
805,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
806,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
807,2,2,1,1,1,2,2,0,1,0,1,TRUE
808,2,2,1,1,1,2,2,0,1,0,1,TRUE
809,2,2,1,1,1,2,2,0,1,0,1,TRUE
810,2,2,1,1,1,2,2,0,1,0,1,TRUE
811,2,2,1,1,1,2,2,0,1,0,1,TRUE
812,2,2,1,1,1,2,2,0,1,0,1,TRUE
813,2,2,1,1,1,2,2,0,1,0,1,TRUE
814,2,2,1,1,1,2,2,0,1,0,1,TRUE
815,2,2,1,1,1,2,2,0,1,0,1,TRUE
816,2,2,1,1,1,2,2,0,1,0,1,TRUE
817,2,2,1,1,1,2,2,0,1,0,1,TRUE
818,2,2,1,1,1,2,2,0,1,0,1,TRUE
819,2,2,1,1,1,2,2,0,1,0,1,TRUE
820,2,2,1,1,1,2,2,0,1,0,1,TRUE
821,2,2,1,1,1,2,2,0,1,0,1,TRUE
822,2,2,1,1,1,2,2,0,1,0,1,TRUE
823,2,2,1,1,1,2,2,0,1,0,1,TRUE
824,2,2,1,1,1,2,2,0,1,0,1,TRUE
825,2,2,1,1,1,2,2,0,1,0,1,TRUE
826,2,2,1,1,1,2,2,0,1,0,1,TRUE
827,2,2,1,1,1,2,2,0,1,0,1,TRUE
828,2,2,1,1,1,2,2,0,1,0,1,TRUE
829,2,2,1,1,1,2,2,0,1,0,1,TRUE
830,2,2,1,1,1,2,2,0,1,0,1,TRUE
831,2,2,1,1,1,2,2,0,1,0,1,TRUE
832,2,2,1,1,1,2,2,0,1,0,1,TRUE
833,2,2,1,1,1,2,2,0,1,0,1,TRUE
834,2,2,1,1,1,2,2,0,1,0,1,TRUE
835,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
836,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
837,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
838,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
839,2,2,1,1,1,2,2,0,1,0,1,TRUE
840,2,2,1,1,1,2,2,0,1,0,1,TRUE
