Version,Total_Communities,Connected_Communities,Mean_Diameter,Median_Diameter,Max_Diameter,Communities_With_Diameter
FIXED,1477,1477,1.36696005416384,1,6,1477
ORIGINAL,1476,0,,,-Inf,0
