community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,mean_degree_fixed,median_degree_fixed,max_degree_fixed,min_degree_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,mean_degree_orig,median_degree_orig,max_degree_orig,min_degree_orig,degree_diff
1321,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1322,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1323,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1324,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1325,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1326,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1327,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1328,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1329,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1330,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1331,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
1332,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1333,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1334,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1335,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1336,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1337,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1338,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1339,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1340,7,7,6,1.71428571428571,2,2,1,7,7,0,0,0,0,0,1.71428571428571
1341,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1342,9,9,8,1.77777777777778,2,4,1,9,9,0,0,0,0,0,1.77777777777778
1343,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1344,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1345,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1346,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1347,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1348,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1349,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1350,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1351,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1352,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1353,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1354,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1355,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1356,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1357,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1358,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1359,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1360,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1361,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1362,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1363,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1364,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1365,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1366,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1367,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1368,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1369,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1370,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1371,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1372,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1373,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1374,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1375,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1376,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1377,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1378,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1379,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1380,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1381,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1382,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1383,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1384,2,2,1,1,1,1,1,3,3,0,0,0,0,0,1
1385,3,3,2,1.33333333333333,1,2,1,2,2,0,0,0,0,0,1.33333333333333
1386,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1387,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1388,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
1389,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1390,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1391,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1392,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1393,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1394,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1395,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1396,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1397,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1398,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1399,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1400,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1401,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1402,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1403,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1404,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1405,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1406,2,2,1,1,1,1,1,3,3,0,0,0,0,0,1
1407,3,3,2,1.33333333333333,1,2,1,2,2,0,0,0,0,0,1.33333333333333
1408,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1409,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1410,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1411,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1412,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
