community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,is_connected_fixed,diameter_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,is_connected_orig,diameter_orig,diameter_diff
701,4,4,3,TRUE,3,4,4,0,FALSE,,
702,3,3,2,TRUE,2,3,3,0,FALSE,,
703,3,3,2,TRUE,2,3,3,0,FALSE,,
704,2,2,1,TRUE,1,2,2,0,FALSE,,
705,2,2,1,TRUE,1,2,2,0,FALSE,,
706,2,2,1,TRUE,1,2,2,0,FALSE,,
707,2,2,1,TRUE,1,2,2,0,FALSE,,
708,2,2,1,TRUE,1,2,2,0,FALSE,,
709,2,2,1,TRUE,1,2,2,0,FALSE,,
710,2,2,1,TRUE,1,2,2,0,FALSE,,
711,2,2,1,TRUE,1,2,2,0,FALSE,,
712,2,2,1,TRUE,1,2,2,0,FALSE,,
713,2,2,1,TRUE,1,2,2,0,FALSE,,
714,2,2,1,TRUE,1,2,2,0,FALSE,,
715,2,2,1,TRUE,1,2,2,0,FALSE,,
716,2,2,1,TRUE,1,2,2,0,FALSE,,
717,2,2,1,TRUE,1,2,2,0,FALSE,,
718,2,2,1,TRUE,1,2,2,0,FALSE,,
719,2,2,1,TRUE,1,2,2,0,FALSE,,
720,2,2,1,TRUE,1,2,2,0,FALSE,,
721,2,2,1,TRUE,1,2,2,0,FALSE,,
722,2,2,1,TRUE,1,2,2,0,FALSE,,
723,2,2,1,TRUE,1,2,2,0,FALSE,,
724,2,2,1,TRUE,1,2,2,0,FALSE,,
725,4,4,3,TRUE,3,4,4,0,FALSE,,
726,3,3,2,TRUE,2,3,3,0,FALSE,,
727,3,3,2,TRUE,2,3,3,0,FALSE,,
728,3,3,2,TRUE,2,3,3,0,FALSE,,
729,3,3,2,TRUE,2,3,3,0,FALSE,,
730,3,3,2,TRUE,2,3,3,0,FALSE,,
731,3,3,2,TRUE,2,3,3,0,FALSE,,
732,3,3,2,TRUE,2,3,3,0,FALSE,,
733,5,5,4,TRUE,4,5,5,0,FALSE,,
734,3,3,2,TRUE,2,3,3,0,FALSE,,
735,3,3,2,TRUE,2,3,3,0,FALSE,,
736,3,3,2,TRUE,2,3,3,0,FALSE,,
737,2,2,1,TRUE,1,2,2,0,FALSE,,
738,2,2,1,TRUE,1,2,2,0,FALSE,,
